no,material,form,present_grs,ch,ancient_grs,x,unit_grs_printed,unit_grs,unit_to_tenth,correction,description
105,"Basalt, bl.",26—33,145.8,,145.8,1,145.8,145.8,TRUE,,
106,"Basalt, br.",16,2910.3,,2920.,20,146.0,146.0,TRUE,,
107,Bronze,33—40,638.7,90,730,5,146,146,FALSE,,"Greyish bronze; broken in two, and part lost."
108,"Basalt, bl.",26—33,292.5,,292.4,2,146.2,146.2,TRUE,,
109,"Syenite, bl.",8,731.4,,731.6,5,146.3,146.3,TRUE,,
110,"Basalt, bl.",25—33,292.5,,292.5,2,146.3,146.3,TRUE,,
111,Limestone,20—40,1439.6,,1465,10,146.5,146.5,TRUE,,"Hard, white, sub-crystalline limestone; same as Nos. 204 and 253."
112,"Basalt, bl.",27—33,292.9,,293.0,2,146.5,146.5,TRUE,,
113,"Basalt, bl.",27—33,2933.5,,2934.5,20,146.7,146.7,TRUE,,
114,"Basalt, br.",27—35,734.1,,734.6,5,146.9,146.9,TRUE,,
115,Limestone,27—40,818.5,B,1470,10,147,147,FALSE,,Dark grey compact slaty limestone.
116,"Basalt, bl.",40—44,147.1,,147.1,1,147.1,147.1,TRUE,,
117,"Basalt, br.",33—37,2943.0,,2944.5,20,147.2,147.2,TRUE,,
118,"Basalt, bl.",27,294.4,,294.4,2,147.2,147.2,TRUE,,
119,"Bronze, bl.",51—52,30.0,,29.5,1/5,147.5,147.5,TRUE,,"See No. 35; more carbonated than 35 and 95, not cleaning so smoothly."
120,"Basalt, bl.",38,285.1,,285.1,2,147.6,147.6,TRUE,"Present: printed 285.1, read as 295.1 (unit 147.6 (sort-confirmed) needs 295.1/2; print has 285.1 twice) | Ancient: printed 285.1, read as 295.1 (same)",
121,"Basalt, br.",33,147.6,,147.6,1,147.6,147.6,TRUE,,
122,Limestone,40,7324,,7390,50,147.8,147.8,TRUE,,"Hard, close white limestone."
123,"Syenite, br.",38,1476.6,,1478.5,10,147.8,147.8,TRUE,,
124,"Syenite, bl.",82,738.8,,738.8,5,147.8,147.8,TRUE,,"A rare form; I have a similar uten in diorite (bought in Cairo, 1884), of 148.07 unit, closely the same as this 147.8."
125,"Basalt, br.",33,294.9,,295.6,2,147.8,147.8,TRUE,,
126,Limestone,32,445.8,B,740,5,148,148,FALSE,,Hard white Mokattam limestone.
127,"Basalt, bl.",33,74.0,,74.0,1/2,148.0,148.0,TRUE,,
128,"Syenite, gr.",33,1480.6,,1480.9,10,148.1,148.1,TRUE,,
129,"Syenite, bl.",2,7408,,7408,50,148.2,148.2,TRUE,,
130,"Syenite, gr.",43,1482.3,,1482.3,10,148.2,148.2,TRUE,,
131,"Basalt, br.",33—40,7289,,7420,50,148.4,148.4,TRUE,,
132,"Syenite, gr.",39,741.8,,741.8,5,148.4,148.4,TRUE,,"Very fine work, quite uninjured; green-grey syenite, polished."
133,"Basalt, br.",33,74.3,,74.3,1/2,148.6,148.6,TRUE,,
134,"Basalt, bl.",25,742.9,,743.9,5,148.8,148.8,TRUE,,
135,Alabaster,38—43,74.1,,74.4,1/2,148.8,148.8,TRUE,,
136,Bronze,38,74.7,,74.4,1/2,148.8,148.8,TRUE,,
137,"Syenite, gr.",8—11,2910.1,70,2980,20,149.,149,FALSE,,
138,(Stone) br.,41,148.9,,149?,1,149?,149,FALSE,,"Dark brown stone, apparently changed by contact with iron rust, and split on the surface."
139,"Basalt, br.",27,2980.9,,2983,20,149.1,149.1,TRUE,,
140,"Basalt, bl.",33,2975.4,,2982,20,149.1,149.1,TRUE,,
141,"Basalt, bl.",23,2978.1,,2982,20,149.1,149.1,TRUE,,
142,"Basalt, bl.",83,746.2,,746.2,5,149.2,149.2,TRUE,,
143,"Syenite, gr.",33,7466,,7469,50,149.4,149.4,TRUE,,"Very fine work, of the purest domed type of fig. 33; blue-grey syenite, polished."
144,"Basalt, br.",23—27,7388,,7490,50,149.8,149.8,TRUE,,
145,"Syenite, gn.",38,2995.1,,2997,20,149.8,149.8,TRUE,,
146,"Basalt, bl.",33,298.7,,299.6,2,149.8,149.8,TRUE,,
147,"Basalt, bl.",33,149.8,,149.8,1,149.8,149.8,TRUE,,
148,"Bronze, L.",33—37,709.0,40,750,5,150,150,FALSE,,
149,"Basalt, bl.",33,299.6,,300.0,5,150.0,150.0,TRUE,"x: printed 5, read as 2 (300.0/2 = 150.0 as printed; /5 gives 60)",
150,"Basalt, bl.",27—33,75.2,,75.2,1/2,159.4,150.4,TRUE,"Unit: printed 159.4, read as 150.4 (75.2 / (1/2) = 150.4; sorted between 150.0 and 150.5)",
151,Bronze,40,303.0,,301.,2,150.5,150.5,TRUE,,
152,"Granite, red",26,75290,,75290,500,150.6,150.6,TRUE,,"Similar to No. 42, but better worked."
153,"Basalt, bl.",33,300.4,,301.2,2,150.6,150.6,TRUE,,
154,"Syenite, pk.",27—37,3013.5,,3016.0,20,150.8,150.8,TRUE,,
155,"Syenite, bl.",41,75.4,,75.4,1/2,150.8,150.8,TRUE,,
156,"Syenite, gr.",31—33,302.6,,302.6,2,151.3,151.3,TRUE,,"With reference to this of black and white syenite (see No. 2), a weight similar in form, colour, and high standard (150.6) should be noted in Brit. Mus., with cartouche of Aahmes (XXVIth Dyn.) on the top."
157,Bronze,32,303.2,,305,2,152.5,152.5,TRUE,,
158,Bronze,25—27,154.3,,153.,1,153.,153,FALSE,,
