no,row,material,form,grs,x,unit_printed,unit_grs,correction,detail
3380,entry,GY.QTZOSE,653,2852.2,20,.6,142.6,,RIQQEH XII
3381,entry,BK.QTZOSE,55,2852.4,20,.6,142.6,,XXIII
3382,entry,GY.QTZOSE,351,71310.,500,.6,142.6,,-20
3383,entry,BAS.,268,142.7,1,.7,142.7,,
3384,entry,BAS.,339,285.4,2,.7,142.7,,
3385,entry,HAEM.,887,713.4,5,.7,142.7,,XVIII
3386,entry,BAS.,207,1426.8,10,.7,142.7,,
3387,entry,BR.QTZOSE,821,2855.4,20,.7,142.7,,
3388,entry,BK.QTZOSE,558,3567.1,25,.7,142.7,,XXIII
3389,entry,BK.STEA.,63,71.4,1/2,142.8,142.8,,XII
3390,entry,BAS.,202,285.7,2,.8,142.8,,
3391,entry,GY.SY.,254,714.2,5,.8,142.8,,
3392,entry,ALAB.,605,1428.5,10,.8,142.8,,NUBT
3393,entry,QTZITE,329,2856.0,20,.8,142.8,,MEM.
3394,entry,BAS.,245,2856.6,20,.8,142.8,,
3395,entry,BR.QTZITE,44,71400.,500,.8,142.8,,-550
3396,entry,BAS.,442,285.9,2,.9,142.9,,
3397,entry,BK.SY.,203,1429.0,10,.9,142.9,,
3398,entry,BAS.,331,2857.6,20,.9,142.9,,
3398,continuation,,,5715.,40,.9,142.9,,SEE P
3399,entry,GY.QTZ.,444,71.5,1/2,143.0,143.0,,
3400,entry,BRECCIA,801,1430.,10,.0,143.0,,-31
3401,entry,GY.SY.,317,2861.0,20,.0,143.0,,
3402,entry,GY.SY.,165,7152.5,50,.0,143.0,,
3403,entry,HAEM.,5,143.1,1,.1,143.1,,starred
3404,entry,GY.SY.,245,2862.2,20,.1,143.1,,
3404,continuation,,,3577.6,25,.1,143.1,,SEE K
3405,entry,BAS.,392,286.5,2,.2,143.2,,
3406,entry,BAS.,203,715.8,5,.2,143.2,,
3407,entry,BAS.,141,2863.1,20,.2,143.2,,
3407,continuation,,,5726.,40,.2,143.2,,SEE P
3408,entry,HAEM.,497,143.3,1,.3,143.3,,XVIII
3409,entry,ALAB.,338,286.7,2,.3,143.3,,
3410,entry,HAEM.,498,1432.6,10,.3,143.3,,XVIII
3411,entry,SY.,352,2866.0,20,.3,143.3,,
3412,entry,LIM.,842,2866.7,20,.3,143.3,,
3413,entry,BAS.,264,143.4,1,.4,143.4,,
3414,entry,BAS.,386,286.8,2,.4,143.4,,
3415,entry,BK.JASP.,19,717.2,5,.4,143.4,,
3416,entry,GY.SY.,264,143.5,1,.5,143.5,,
3417,entry,BAS.,349,143.5,1,.5,143.5,,
3418,entry,BAS.,442,287.0,2,.5,143.5,,
3419,entry,BAS.,235,5741.,40,.5,143.5,,
3420,entry,BK.GRAN.,313,28700.,200,.5,143.5,,-30
3421,entry,BR.QTZITE,264,28710.,200,.5,143.5,,-7
