no,unit_grs
3750,149.5
3751,149.5
3752,149.5
3753,149.5
3754,149.5
3755,149.6
3756,149.6
3757,149.6
3758,149.6
3759,149.6
3760,149.6
3761,149.6
3762,149.6
3763,149.6
3764,149.6
3765,149.7
3766,149.7
3767,149.7
3768,149.7
3769,149.7
3770,149.7
3771,149.7
3772,149.8
3773,149.8
3774,149.8
3775,149.8
3776,149.9
3777,149.9
3778,149.9
3779,149.9
3780,149.9
3781,150.0
3782,150.0
3783,150.0
3784,150.0
3785,150.0
3785A,150.0
3786,150.0
3787,150.1
3788,150.1
3789,150.1
3790,150.2
3791,150.2
3791A,150.2
3792,150.2
3793,150.3
3794,150.3
3795,150.3
3796,150.3
3797,150.3
3798,150.4
3799,150.4
3800,150.4
3801,150.4
3802,150.4
3803,150.4
3804,150.4
3805,150.4
3806,150.4
3807,150.5
3808,150.5
3809,150.5
3810,150.5
3811,150.5
3812,150.5
3813,150.5
3814,150.6
3815,150.6
3816,150.6
3816A,150.7
3817,150.7
3818,150.7
3819,150.8
3820,150.8
3821,150.8
3822,150.8
3823,150.8
3824,150.8
3825,150.9
3826,150.9
3827,151.0
3828,151.1
3829,151.1
3830,151.2
3831,151.2
3832,151.2
3833,151.2
3834,151.2
3835,151.3
3836,151.3
3837,151.3
3838,151.3
3839,151.4
3840,151.4
3841,151.4
3842,151.4
3843,151.5
3844,151.5
3845,151.5
3846,151.5
3847,151.6
3848,151.7
3849,151.7
3850,151.7
3851,151.7
3852,151.8
3853,151.8
3854,151.8
3855,151.9
3856,151.9
3857,151.9
3858,151.9
3859,151.9
3860,151.9
3861,151.9
3862,152.0
3863,152.0
3864,152.0
3865,152.1
3866,152.2
3867,152.2
3867A,152.2
3868,152.2
3869,152.2
3870,152.3
3871,152.4
3872,152.4
3872A,152.5
3873,152.5
3874,152.5
3875,153.0
3876,153.5
